Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Goal_Difference,Home_Shot_Accuracy,Away_Shot_Accuracy,Total_Cards
2021-01-16,9,15,2,0,2,16,8,5,3,2,5,10,11,2,2,0,0,2,0.3125,0.375,4
2021-01-17,14,16,1,3,0,15,14,5,5,5,7,13,4,4,0,0,0,-2,0.3333333333333333,0.35714285714285715,4
2021-01-17,10,12,0,0,1,17,8,3,4,7,3,15,6,2,1,0,0,0,0.17647058823529413,0.5,3
2021-01-17,11,5,4,0,2,13,2,6,0,11,1,9,8,0,0,0,0,4,0.46153846153846156,0.0,0
2021-01-18,0,13,3,0,2,20,4,6,1,7,2,9,8,0,0,0,0,3,0.3,0.25,0
2021-01-19,18,17,2,1,2,14,6,6,2,3,1,10,10,0,1,0,0,1,0.42857142857142855,0.3333333333333333,1
2021-01-19,9,4,2,0,2,8,9,6,5,6,3,7,16,1,3,0,0,2,0.75,0.5555555555555556,4
2021-01-20,11,1,2,0,2,28,11,9,4,16,2,10,9,0,2,0,0,2,0.32142857142857145,0.36363636363636365,2
2021-01-20,7,12,1,2,0,12,15,5,5,2,8,6,10,3,1,0,0,-1,0.4166666666666667,0.3333333333333333,4
2021-01-21,10,3,0,1,0,27,6,6,4,12,0,11,8,2,1,0,0,-1,0.2222222222222222,0.6666666666666666,3
2021-01-23,1,13,2,0,2,14,7,5,1,5,4,9,18,0,3,0,0,2,0.35714285714285715,0.14285714285714285,3
2021-01-26,5,18,2,3,0,6,17,3,7,3,4,9,8,0,0,0,0,-1,0.5,0.4117647058823529,0
2021-01-26,13,8,1,2,0,22,9,5,2,9,5,10,15,1,3,0,0,-1,0.22727272727272727,0.2222222222222222,4
2021-01-26,15,0,1,3,0,13,9,5,5,4,5,11,6,1,2,0,0,-2,0.38461538461538464,0.5555555555555556,3
2021-01-26,17,11,0,5,0,4,18,1,7,3,8,8,8,2,0,0,0,-5,0.25,0.3888888888888889,2
2021-01-27,3,1,3,2,2,10,18,5,10,2,4,16,7,1,0,0,0,1,0.5,0.5555555555555556,1
2021-01-27,4,19,0,0,1,14,4,5,0,13,1,14,7,1,1,0,0,0,0.35714285714285715,0.0,2
2021-01-27,2,7,0,0,1,16,10,5,3,10,0,10,14,2,1,0,0,0,0.3125,0.3,3
2021-01-27,6,9,1,1,1,8,19,2,6,5,11,12,10,1,1,0,0,0,0.25,0.3157894736842105,2
2021-01-27,12,14,1,2,0,16,5,4,3,7,2,10,12,1,1,0,0,-1,0.25,0.6,2
2021-01-28,16,10,1,3,0,3,14,2,7,1,2,9,11,1,2,0,0,-2,0.6666666666666666,0.5,3
2021-01-30,6,13,0,2,0,11,13,3,3,7,12,13,6,3,4,0,0,-2,0.2727272727272727,0.23076923076923078,7
2021-01-30,5,19,1,0,2,11,6,2,4,1,6,7,10,1,2,0,0,1,0.18181818181818182,0.6666666666666666,3
2021-01-30,11,14,1,0,2,10,4,5,1,10,0,7,10,0,3,0,0,1,0.5,0.25,3
2021-01-30,17,7,2,2,1,5,12,3,7,2,3,9,10,1,0,0,0,0,0.6,0.5833333333333334,1
2021-01-30,0,12,0,0,1,17,14,3,3,4,7,9,16,1,3,0,0,0,0.17647058823529413,0.21428571428571427,4
2021-01-30,15,1,0,1,0,20,8,5,4,7,1,12,11,1,0,0,0,-1,0.25,0.5,1
2021-01-31,4,3,2,0,2,19,1,8,0,4,2,7,9,0,1,0,0,2,0.42105263157894735,0.0,1
2021-01-31,9,8,1,3,0,18,8,8,7,6,4,17,16,0,3,0,0,-2,0.4444444444444444,0.875,3
2021-01-31,18,10,1,3,0,8,14,2,5,6,5,7,8,2,0,0,0,-2,0.25,0.35714285714285715,2
2021-01-31,2,16,1,0,2,16,8,5,4,9,2,11,11,2,1,0,0,1,0.3125,0.5,3
2021-02-02,14,17,2,1,2,14,8,6,4,9,2,11,9,2,1,0,0,1,0.42857142857142855,0.5,3
2021-02-02,19,0,2,1,2,11,9,7,3,9,6,11,8,3,2,0,2,1,0.6363636363636364,0.3333333333333333,7
2021-02-02,12,15,9,0,2,24,3,14,1,5,3,11,6,2,3,0,2,9,0.5833333333333334,0.3333333333333333,7
2021-02-02,13,5,1,2,0,21,6,5,3,9,1,14,11,1,3,0,0,-1,0.23809523809523808,0.5,4
2021-02-03,3,11,0,2,0,2,17,0,6,1,3,8,5,2,1,0,0,-2,0.0,0.35294117647058826,3
2021-02-03,7,9,0,2,0,8,9,1,5,5,2,17,10,3,1,0,0,-2,0.125,0.5555555555555556,4
2021-02-03,8,6,1,2,0,16,10,7,6,7,1,12,12,2,3,0,0,-1,0.4375,0.6,5
2021-02-03,1,18,1,3,0,9,20,2,10,7,3,11,15,1,1,0,0,-2,0.2222222222222222,0.5,2
2021-02-03,10,2,0,1,0,11,13,1,4,6,3,12,6,1,0,0,0,-1,0.09090909090909091,0.3076923076923077,1
2021-02-04,16,4,0,1,0,7,18,2,2,2,7,20,14,2,3,0,0,-1,0.2857142857142857,0.1111111111111111,5
2021-02-06,1,0,1,0,2,12,14,8,3,3,7,12,12,3,2,0,0,1,0.6666666666666666,0.21428571428571427,5
2021-02-06,3,2,1,1,1,20,10,7,2,8,7,8,10,2,0,0,0,0,0.35,0.2,2
2021-02-06,13,15,3,2,2,6,14,4,5,0,7,11,14,2,1,1,0,1,0.6666666666666666,0.35714285714285715,4
2021-02-06,7,18,0,0,1,20,8,2,1,7,3,11,10,1,2,0,1,0,0.1,0.125,4
2021-02-06,12,6,3,3,1,14,6,5,3,5,1,14,10,2,1,0,0,0,0.35714285714285715,0.5,3
2021-02-07,16,17,2,0,2,13,4,6,1,8,0,16,12,1,2,0,0,2,0.46153846153846156,0.25,3
2021-02-07,19,9,0,0,1,13,13,1,3,8,2,11,15,1,3,0,0,0,0.07692307692307693,0.23076923076923078,4
2021-02-07,10,11,1,4,0,8,8,3,5,6,1,13,8,2,1,0,0,-3,0.375,0.625,3
2021-02-07,14,4,1,2,0,8,9,3,3,1,8,8,8,1,0,0,0,-1,0.375,0.3333333333333333,1
2021-02-08,8,5,2,0,2,17,8,7,3,5,3,7,8,0,2,0,0,2,0.4117647058823529,0.375,2
2021-02-13,9,10,3,1,2,11,15,6,4,2,12,9,6,1,2,0,0,2,0.5454545454545454,0.26666666666666666,3
