Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
2000-11-18,15,7,2,0,0,16,5,28,20,0.5,0.5,14.0,2,1,0,0,1,0,0,0,0,0,-0.8571428571428571,-1.0714285714285714,0.0,0.0714285714285714
2000-11-18,16,0,2,0,0,15,23,20,10,1.0714285714285714,2.0,14.0,7,13,0,0,0,0,1,0,0,0,-0.3571428571428571,0.9285714285714286,-0.9285714285714286,-0.4285714285714285
2000-11-18,34,1,2,0,0,17,16,24,11,1.0,1.5714285714285714,14.0,5,10,0,0,0,0,0,0,0,0,-0.5,0.3571428571428571,-0.5714285714285714,-0.3571428571428571
2000-11-19,38,23,2,1,0,17,27,20,19,1.2142857142857142,1.7142857142857142,14.0,6,12,0,0,0,0,1,0,0,0,-0.2142857142857142,0.5714285714285714,-0.5,-0.4285714285714285
2000-11-25,16,12,2,1,0,17,25,20,20,1.2,1.1333333333333333,15.0,9,7,0,0,0,0,0,0,0,0,-0.2,0.3333333333333333,0.0666666666666666,0.1333333333333333
2000-11-25,38,22,3,0,0,19,14,21,8,1.3333333333333333,1.7333333333333334,15.0,9,10,0,0,0,0,0,0,0,0,-0.1333333333333333,0.4,-0.4,-0.0666666666666666
2000-11-26,21,0,1,0,0,21,23,19,12,1.4666666666666666,1.8666666666666667,15.0,8,10,0,0,0,0,1,0,0,0,0.1333333333333333,0.7333333333333333,-0.4,-0.1333333333333333
2000-11-26,28,23,2,1,0,15,28,14,21,1.3333333333333333,1.6,15.0,4,9,0,0,0,0,0,0,0,0,0.0666666666666666,0.4666666666666667,-0.2666666666666666,-0.3333333333333333
2000-02-12,0,34,1,0,0,23,19,12,24,1.8666666666666667,1.1333333333333333,15.0,10,7,1,0,0,0,0,0,0,0,0.7333333333333333,-0.3333333333333333,0.7333333333333333,0.2
2000-02-12,7,13,2,1,0,7,14,24,30,0.5,0.75,16.0,2,1,0,0,0,0,0,0,1,0,-1.0625,-1.0,-0.25,0.0625
2000-02-12,22,21,3,1,0,14,22,11,22,1.625,1.375,16.0,10,7,0,0,0,0,0,0,0,0,0.1875,0.0,0.25,0.1875
2000-02-12,23,11,3,0,0,29,21,23,21,1.5,1.3125,16.0,6,6,0,0,0,0,0,0,0,0,0.375,0.0,0.1875,0.0
2000-02-12,25,38,2,0,0,39,22,10,21,2.25,1.4375,16.0,15,9,1,1,0,0,0,0,0,0,1.8125,0.0625,0.8125,0.375
2000-02-12,41,27,1,0,0,21,19,17,26,1.3125,0.6875,16.0,13,1,0,0,0,0,0,0,1,0,0.25,-0.4375,0.625,0.75
2000-03-12,12,24,2,1,0,26,17,22,28,1.0625,0.875,16.0,4,0,0,0,0,0,0,0,1,1,0.25,-0.6875,0.1875,0.25
2000-04-12,36,16,2,0,0,15,19,16,21,1.4375,1.3125,16.0,10,9,0,0,0,0,0,0,0,0,-0.0625,-0.125,0.125,0.0625
2000-09-12,0,28,5,0,0,23,17,13,15,1.75,1.4375,16.0,7,7,0,0,0,0,0,0,0,0,0.625,0.125,0.3125,0.0
2000-09-12,12,15,4,1,0,28,19,23,31,1.1764705882352942,0.7647058823529411,17.0,4,8,0,0,0,0,0,0,0,0,0.2941176470588235,-0.7058823529411765,0.4117647058823529,-0.2352941176470588
2000-09-12,24,16,5,0,0,18,19,30,23,0.8235294117647058,1.2352941176470589,17.0,0,9,0,0,1,1,0,0,0,0,-0.7058823529411765,-0.2352941176470588,-0.4117647058823529,-0.5294117647058824
2000-09-12,34,21,1,0,0,21,22,28,23,1.0,1.2941176470588236,17.0,7,4,0,0,0,0,0,0,0,0,-0.4117647058823529,-0.0588235294117647,-0.2941176470588235,0.1764705882352941
2000-09-12,36,27,1,0,0,17,19,16,27,1.5294117647058822,0.6470588235294118,17.0,10,1,0,0,0,0,0,0,1,0,0.0588235294117647,-0.4705882352941176,0.8823529411764706,0.5294117647058824
2000-10-12,13,22,1,0,0,15,17,32,12,0.7058823529411765,1.7058823529411764,17.0,1,10,0,0,1,0,0,0,0,0,-1.0,0.2941176470588235,-1.0,-0.5294117647058824
2000-12-16,15,13,1,0,0,20,16,35,32,0.7222222222222222,0.8333333333333334,18.0,7,4,0,0,0,0,0,0,0,0,-0.8333333333333334,-0.8888888888888888,-0.1111111111111111,0.1666666666666666
2000-12-16,20,34,3,1,0,24,22,17,28,1.6666666666666667,1.1111111111111112,18.0,12,7,1,0,0,0,0,0,0,0,0.3888888888888889,-0.3333333333333333,0.5555555555555556,0.2777777777777778
2000-12-16,21,36,2,0,0,24,18,23,16,1.3888888888888888,1.6111111111111112,18.0,6,13,0,0,0,0,0,0,0,0,0.0555555555555555,0.1111111111111111,-0.2222222222222222,-0.3888888888888889
2000-12-16,22,11,3,1,0,17,24,13,27,1.6111111111111112,1.2222222222222223,18.0,7,4,0,0,0,0,0,0,0,0,0.2222222222222222,-0.1666666666666666,0.3888888888888889,0.1666666666666666
2000-12-16,27,12,1,0,0,19,32,28,24,0.6111111111111112,1.2777777777777777,18.0,1,7,0,0,0,0,0,0,0,0,-0.5,0.4444444444444444,-0.6666666666666666,-0.3333333333333333
2000-12-16,28,7,2,1,0,18,12,21,28,1.3333333333333333,0.6666666666666666,18.0,5,5,0,0,0,0,0,0,0,0,-0.1666666666666666,-0.8888888888888888,0.6666666666666666,0.0
2000-12-23,11,16,1,0,0,25,20,30,29,1.1578947368421053,1.1578947368421053,19.0,4,7,0,0,0,0,0,0,0,0,-0.2631578947368421,-0.4736842105263157,0.0,-0.1578947368421052
2000-12-23,12,7,3,0,0,32,13,25,30,1.2105263157894737,0.631578947368421,19.0,6,5,0,0,0,0,0,0,0,0,0.3684210526315789,-0.8947368421052632,0.5789473684210527,0.0526315789473684
2000-12-23,15,28,2,0,0,21,20,35,22,0.8421052631578947,1.4210526315789471,19.0,9,7,0,0,0,0,0,0,0,0,-0.7368421052631579,-0.1052631578947368,-0.5789473684210527,0.1052631578947368
2000-12-23,22,41,2,1,0,20,24,14,19,1.6842105263157894,1.368421052631579,19.0,9,11,0,0,0,0,1,0,0,0,0.3157894736842105,0.2631578947368421,0.3157894736842105,-0.1052631578947368
2000-12-23,23,0,4,0,0,33,30,24,14,1.5789473684210529,1.8421052631578947,19.0,6,7,0,0,0,0,0,0,0,0,0.4736842105263157,0.8421052631578947,-0.2631578947368421,-0.0526315789473684
2000-12-23,25,20,2,0,0,44,27,14,18,2.1052631578947367,1.736842105263158,19.0,10,12,1,0,0,0,0,0,0,0,1.5789473684210529,0.4736842105263157,0.3684210526315789,-0.1052631578947368
2000-12-23,36,24,1,0,0,18,25,18,32,1.5263157894736843,0.9473684210526316,19.0,12,4,1,0,0,0,0,0,1,0,0.0,-0.3684210526315789,0.5789473684210527,0.4210526315789473
2000-12-26,0,22,6,1,0,30,20,14,14,1.8421052631578947,1.6842105263157894,19.0,7,9,0,0,0,0,0,0,0,0,0.8421052631578947,0.3157894736842105,0.1578947368421052,-0.1052631578947368
2000-12-26,27,23,1,0,0,20,37,28,24,0.75,1.65,20.0,5,9,0,0,0,0,0,0,0,0,-0.4,0.65,-0.9,-0.2
2000-12-26,28,21,2,1,0,20,26,24,27,1.35,1.25,20.0,7,3,0,0,0,0,0,0,0,0,-0.2,-0.05,0.1,0.2
2000-12-26,41,11,5,0,0,25,26,21,30,1.3,1.25,20.0,8,4,0,0,0,0,0,0,0,0,0.2,-0.2,0.05,0.2
2000-12-27,34,38,2,0,0,24,26,32,27,1.05,1.3,20.0,4,6,0,0,0,0,0,0,0,0,-0.4,-0.05,-0.25,-0.1
2000-12-30,20,38,3,0,0,29,26,22,29,1.619047619047619,1.238095238095238,21.0,7,3,0,0,0,0,0,0,0,0,0.3333333333333333,-0.1428571428571428,0.3809523809523809,0.1904761904761904
2000-12-30,34,15,1,0,0,26,23,32,35,1.1428571428571428,0.9523809523809524,21.0,7,10,0,0,0,0,0,0,0,0,-0.2857142857142857,-0.5714285714285714,0.1904761904761904,-0.1428571428571428
2001-01-01,11,0,1,0,0,26,36,35,19,1.1904761904761905,1.809523809523809,21.0,4,10,0,0,0,0,0,0,0,0,-0.4285714285714285,0.8095238095238095,-0.6190476190476191,-0.2857142857142857
2001-01-01,12,1,1,0,0,37,23,27,19,1.2857142857142858,1.380952380952381,21.0,10,5,0,0,0,0,0,0,0,0,0.4761904761904761,0.1904761904761904,-0.0952380952380952,0.238095238095238
2001-01-01,15,16,1,0,0,23,21,35,32,0.9523809523809524,1.0476190476190477,21.0,10,1,0,0,0,0,0,0,0,0,-0.5714285714285714,-0.5238095238095238,-0.0952380952380952,0.4285714285714285
2001-01-01,23,34,2,1,0,39,27,26,32,1.6363636363636365,1.2272727272727273,22.0,9,10,0,0,0,0,0,0,0,0,0.5909090909090909,-0.2272727272727272,0.4090909090909091,-0.0454545454545454
2001-01-01,25,41,3,1,0,48,31,15,24,2.136363636363636,1.318181818181818,22.0,8,5,0,0,0,0,0,0,0,0,1.5,0.3181818181818182,0.8181818181818182,0.1363636363636363
2001-01-01,36,20,4,1,0,25,32,21,22,1.6363636363636365,1.681818181818182,22.0,10,10,0,0,0,0,0,0,0,0,0.1818181818181818,0.4545454545454545,-0.0454545454545454,0.0
2001-02-01,38,28,4,2,0,26,23,32,26,1.181818181818182,1.4090909090909092,22.0,3,7,0,0,0,0,0,0,0,0,-0.2727272727272727,-0.1363636363636363,-0.2272727272727272,-0.1818181818181818
2001-01-13,27,15,4,0,0,23,24,30,36,0.8695652173913043,1.0,23.0,9,10,0,0,0,0,0,0,0,0,-0.3043478260869565,-0.5217391304347826,-0.1304347826086956,-0.0434782608695652
2001-01-13,28,13,3,1,0,25,21,30,37,1.3478260869565215,0.9130434782608696,23.0,7,6,0,0,0,0,0,0,0,0,-0.217391304347826,-0.6956521739130435,0.4347826086956521,0.0434782608695652
2001-01-14,20,22,2,0,0,33,24,26,25,1.608695652173913,1.5217391304347827,23.0,7,6,0,0,0,0,0,0,0,0,0.3043478260869565,-0.0434782608695652,0.0869565217391304,0.0434782608695652
2001-01-20,12,20,4,1,0,39,33,28,26,1.3478260869565215,1.608695652173913,23.0,8,7,0,0,0,0,0,0,0,0,0.4782608695652174,0.3043478260869565,-0.2608695652173913,0.0434782608695652
2001-01-20,25,1,2,0,0,54,24,16,26,2.208333333333333,1.2083333333333333,24.0,13,0,0,0,0,0,0,0,1,1,1.5833333333333333,-0.0833333333333333,1.0,0.5416666666666666
2001-01-30,0,7,2,0,0,39,16,23,41,1.6666666666666667,0.6666666666666666,24.0,5,4,0,0,0,0,0,0,0,0,0.6666666666666666,-1.0416666666666667,1.0,0.0416666666666666
2001-01-30,11,15,2,1,0,31,24,36,40,1.3333333333333333,0.9583333333333334,24.0,10,7,0,0,0,0,0,0,0,0,-0.2083333333333333,-0.6666666666666666,0.375,0.125
2001-01-31,12,28,3,1,0,43,28,29,31,1.4166666666666667,1.4166666666666667,24.0,11,7,0,0,0,0,0,0,0,0,0.5833333333333334,-0.125,0.0,0.1666666666666666
2001-01-31,21,13,1,0,0,35,23,32,43,1.4,0.84,25.0,10,5,0,0,0,0,0,0,0,0,0.12,-0.8,0.56,0.2
2001-01-31,34,22,1,0,0,28,24,34,26,1.16,1.44,25.0,8,1,0,0,0,0,0,0,1,0,-0.24,-0.08,-0.28,0.28
2001-03-02,15,36,1,0,0,25,31,41,22,0.96,1.72,25.0,5,11,0,0,0,0,0,0,0,0,-0.64,0.36,-0.76,-0.24
2001-03-02,22,12,2,1,0,24,46,26,30,1.44,1.48,25.0,1,11,0,0,1,0,0,0,0,0,-0.08,0.64,-0.04,-0.4
2001-03-02,23,41,3,0,0,46,32,27,30,1.6923076923076923,1.1923076923076923,26.0,11,2,0,0,0,0,0,0,0,0,0.7307692307692307,0.0769230769230769,0.5,0.3461538461538461
2001-03-02,25,16,1,0,0,57,26,16,37,2.269230769230769,1.0384615384615383,26.0,13,5,0,0,0,0,0,0,0,0,1.5769230769230769,-0.4230769230769231,1.2307692307692308,0.3076923076923077
2001-10-02,0,20,1,0,0,41,37,23,32,1.6923076923076923,1.5384615384615383,26.0,6,6,0,0,0,0,0,0,0,0,0.6923076923076923,0.1923076923076923,0.1538461538461538,0.0
2001-10-02,16,22,2,1,0,26,26,37,27,1.0384615384615383,1.5,26.0,5,4,0,0,0,0,0,0,0,0,-0.4230769230769231,-0.0384615384615384,-0.4615384615384615,0.0384615384615384
2001-10-02,34,7,2,0,0,31,16,34,48,1.2962962962962965,0.5925925925925926,27.0,8,1,0,0,0,0,0,0,0,0,-0.1111111111111111,-1.1851851851851851,0.7037037037037037,0.2592592592592592
2001-11-02,11,28,2,0,0,34,32,38,37,1.3703703703703705,1.3703703703703705,27.0,9,6,0,0,0,0,0,0,0,0,-0.1481481481481481,-0.1851851851851851,0.0,0.1111111111111111
2001-02-24,15,1,1,0,0,27,28,43,28,1.0,1.2222222222222223,27.0,7,4,0,0,0,0,0,0,0,0,-0.5925925925925926,0.0,-0.2222222222222222,0.1111111111111111
2001-02-24,20,16,2,0,0,37,28,33,39,1.4814814814814814,1.037037037037037,27.0,3,6,0,0,0,0,0,0,0,0,0.1481481481481481,-0.4074074074074074,0.4444444444444444,-0.1111111111111111
2001-02-24,22,36,2,0,0,27,31,29,24,1.4444444444444444,1.5925925925925926,27.0,4,7,0,0,0,0,0,0,0,0,-0.074074074074074,0.2592592592592592,-0.1481481481481481,-0.1111111111111111
2001-02-25,25,0,6,1,0,59,43,17,23,2.25,1.7857142857142858,28.0,13,11,1,0,0,0,0,0,0,0,1.5,0.7142857142857143,0.4642857142857143,0.0714285714285714
2001-03-03,0,41,3,0,0,43,35,23,32,1.7857142857142858,1.25,28.0,11,6,0,0,0,0,0,0,0,0,0.7142857142857143,0.1071428571428571,0.5357142857142857,0.1785714285714285
2001-03-03,15,38,2,1,0,27,31,43,34,1.0,1.2857142857142858,28.0,5,7,0,0,0,0,0,0,0,0,-0.5714285714285714,-0.1071428571428571,-0.2857142857142857,-0.0714285714285714
2001-03-03,22,23,2,0,0,29,47,29,30,1.5,1.6071428571428572,28.0,7,6,0,0,0,0,0,0,0,0,0.0,0.6071428571428571,-0.1071428571428571,0.0357142857142857
2001-04-03,20,7,3,1,0,42,18,34,53,1.5862068965517242,0.5517241379310345,29.0,6,0,0,0,1,0,0,0,1,1,0.2758620689655172,-1.206896551724138,1.0344827586206895,0.2068965517241379
2001-10-03,1,20,2,1,0,31,42,30,34,1.2758620689655171,1.5862068965517242,29.0,8,6,0,0,0,0,0,0,1,0,0.0344827586206896,0.2758620689655172,-0.3103448275862069,0.0689655172413793
2001-03-17,25,22,2,0,0,65,31,18,29,2.2758620689655173,1.5517241379310345,29.0,13,9,1,0,0,0,0,0,0,0,1.6206896551724137,0.0689655172413793,0.7241379310344828,0.1379310344827586
2001-03-17,34,16,1,0,0,34,31,34,43,1.4666666666666666,1.0666666666666669,30.0,15,5,1,1,0,0,0,0,0,0,0.0,-0.4,0.4,0.3333333333333333
2001-03-17,38,13,3,0,0,33,26,38,48,1.2,0.8,30.0,5,3,0,0,0,0,0,0,0,0,-0.1666666666666666,-0.7333333333333333,0.4,0.0666666666666666
2001-03-31,0,38,2,0,0,47,33,29,38,1.7666666666666666,1.2,30.0,12,5,1,0,0,0,0,0,0,0,0.6,-0.1666666666666666,0.5666666666666667,0.2333333333333333
2001-03-31,12,27,2,1,0,52,31,37,35,1.4,0.9333333333333332,30.0,5,4,0,0,0,0,0,0,0,0,0.5,-0.1333333333333333,0.4666666666666667,0.0333333333333333
2001-03-31,13,15,2,0,0,26,30,48,44,0.8,1.1333333333333333,30.0,3,10,0,0,0,0,0,0,0,0,-0.7333333333333333,-0.4666666666666667,-0.3333333333333333,-0.2333333333333333
