HomeTeam,AwayTeam,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,Year,Month,Day
Coventry,Tottenham,H,8,11,14,11,0.8888888888888888,1.2222222222222223,9.0,2,7,0,0,0,0,0,0,0,0,-0.6666666666666666,0.0,-0.3333333333333333,-0.5555555555555556,2000,10,14
Everton,Southampton,NH,11,11,15,12,0.8888888888888888,1.0,9.0,4,7,0,0,0,0,0,0,0,0,-0.4444444444444444,-0.1111111111111111,-0.1111111111111111,-0.3333333333333333,2000,10,14
Ipswich,West Ham,NH,11,10,10,11,1.2222222222222223,0.7777777777777778,9.0,7,6,0,0,0,0,0,0,0,0,0.1111111111111111,-0.1111111111111111,0.4444444444444444,0.1111111111111111,2000,10,14
Leeds,Charlton,H,14,14,10,13,1.5555555555555556,1.3333333333333333,9.0,8,9,0,0,0,0,0,0,0,0,0.4444444444444444,0.1111111111111111,0.2222222222222222,-0.1111111111111111,2000,10,14
Leicester,Man United,NH,7,20,2,8,1.7777777777777777,1.6666666666666667,9.0,11,10,1,0,0,0,1,0,0,0,0.5555555555555556,1.3333333333333333,0.1111111111111111,0.1111111111111111,2000,10,14
Man City,Bradford,H,10,4,14,12,0.8888888888888888,0.6666666666666666,9.0,5,2,0,0,0,0,0,0,0,0,-0.4444444444444444,-0.8888888888888888,0.2222222222222222,0.3333333333333333,2000,10,14
Sunderland,Chelsea,H,7,13,11,12,1.0,1.1111111111111112,9.0,6,6,0,0,0,0,0,0,0,0,-0.4444444444444444,0.1111111111111111,-0.1111111111111111,0.0,2000,10,14
Derby,Liverpool,NH,14,12,19,13,0.5555555555555556,1.3333333333333333,9.0,3,8,0,0,0,0,0,0,0,0,-0.5555555555555556,-0.1111111111111111,-0.7777777777777778,-0.5555555555555556,2000,10,15
Middlesbrough,Newcastle,NH,14,8,12,7,1.1111111111111112,1.4444444444444444,9.0,6,7,0,0,0,0,0,0,0,0,0.2222222222222222,0.1111111111111111,-0.3333333333333333,-0.1111111111111111,2000,10,16
Bradford,Ipswich,NH,4,11,12,10,0.6666666666666666,1.2222222222222223,9.0,2,7,0,0,0,0,0,0,0,0,-0.8888888888888888,0.1111111111111111,-0.5555555555555556,-0.5555555555555556,2000,10,21
Charlton,Middlesbrough,H,15,15,16,15,1.2,1.0,10.0,8,5,0,0,0,0,0,0,0,0,-0.1,0.0,0.2,0.3,2000,10,21
Chelsea,Coventry,H,13,10,13,15,1.0,1.1,10.0,5,5,0,0,0,0,0,0,0,0,0.0,-0.5,-0.1,0.0,2000,10,21
Liverpool,Leicester,H,16,7,13,5,1.5,1.6,10.0,8,8,0,0,0,0,0,0,0,0,0.3,0.2,-0.1,0.0,2000,10,21
Man United,Leeds,H,23,14,8,13,1.8,1.4,10.0,10,7,0,0,0,0,0,0,0,0,1.5,0.1,0.4,0.3,2000,10,21
